,Hospital Name,Title 1,Link 1,Population Health 1,Title 2,Link 2,Population Health 2,Title 3,Link 3,Population Health 3
0,UNIVERSITY HOSPITAL,UH Population Health / Accountable Care Organization,https://www.uhhospitals.org/about-uh/population-health-accountable-care-organization,"Unusual behavior notice: Webpage: 
 A timeout occurred Error code 524 Visit cloudflare.com for more information. 2024-07-29 02:19:26 UTC You Browser Working Ashburn Cloudflare Working r.jina.ai Host Error What happened? The origin web server timed out responding to this request. What can I do? If you're a visitor of this website: Please try again in a few minutes. If you're the owner of this website: The connection to the origin web server was made, but the origin web server timed out before responding. The likely cause is an overloaded background task, database or application, stressing the resources on your web server. To resolve, please work with your hosting provider or web development team to free up resources for your database or overloaded application. Additional troubleshooting information here. Cloudflare Ray ID: 8aa99d503a7a58a6 Performance & security by Cloudflare.",58 population health executives to know | 2022,https://www.beckershospitalreview.com/lists/58-population-health-executives-to-know-2022.html,"Parag Agnihotri, MD. Chief Medical Officer of Population Health Services at UCSD Health (San Diego)., Daphne Bascom, MD, PhD. Vice President of Population Health at Saint Luke's Health System (Kansas City, Mo.)., Scott Berkowitz, MD. Chief Population Health Officer and Vice President of Population Health at Johns Hopkins Medicine (Baltimore)., Marilu Bintz, MD. Senior Vice President of Health Population and Strategy at Gunderson Health System (La Crosse, Wis.)., Tangerine Brigham. Chief Administrative Officer, Population Health, at Alameda (Calif.) Health System., Marta Brito Perez. Senior Vice President of Population Health and Post Acute Care Services at Adventist HealthCare (Gaithersburg, Md.)., Mallory Callahan. Director of Population Health Management and Innovation for Nebraska Health Network (Omaha)., Chuck Callahan, DO. Vice President of Population Health for the University of Maryland Medical Center (Baltimore)., Steven Carson, BSN, RN. Senior Vice President, Population Health, Temple University Health System (Philadelphia)., Sang-ick Chang, MD. Division Chief of Primary Care and Population Health of Stanford (Calif.) Medicine., Nichola Davis, MD. Vice President, Chief Population Health Officer  for NYC Health+Hospitals., Desiree de la Torre. Director of Community Affairs and Population Health Improvement of Children's National (Washington, D.C.)., Dan Edelman, DO. Chief Medical Information Officer, Florida Region, and Chief Population Health Officer of Cleveland Clinic (Weston, Fla.)., Kristine Fay. Chief Officer of Population Health and Physician Services at Lee Health (Fort Myers, Fla.)., Rob Fields, MD. Executive Vice President and Chief Population Health Officer of Mount Sinai Health System (New York)., Don Franke. CEO of Amita Health Care Networks and Senior Vice President of Population Health at Amita Health (Arlington Heights, Ill.)., Kristene Grayem, MSN. Chief Population Health Officer and Executive Director of Akron (Ohio) Children's Health Collaborative., Reshma Gupta, MD. Chief of Population Health and Accountable Care at the University of California, Davis., Patrick Hammond, MHA. Chief Market Services Officer and Chief Innovations and Population Health Officer, Emory Healthcare; CEO, Emory Healthcare Network (Atlanta)., Terri Hanlon-Bremer, MSN, RN. Senior Vice President of Employer Solutions and Population Health at TriHealth (Cincinnati)., Carrie Harris-Muller. Senior Vice President and Chief Population Health Officer at OhioHealth (Columbus)., Susan Hawkins. Senior Vice President of Population Health at Henry Ford Health System (Detroit)., Ethan Helm, MD. Vice Chancellor of Population Health for Rutgers Biomedical and Health Sciences and Deputy Chief Population Health Officer at RWJBarnabas Health (West Orange, N.J.)., Jennifer Houlihan. Vice President of Value-Based Care and Population Health at Atrium Health Wake Forest Baptist (Winston-Salem, N.C.)., Jonathan Jaffery, MD. Chief Population Health Officer at UW Health (Madison, Wis.)., Bill Johnjulio, MD. Chief Population Health Officer of Allegheny Health Network (Pittsburgh)., Lindsay Jubelt, MD. Chief Population Health Officer of Mass General Brigham (Boston)., Anthony Keck. Executive Vice President for System Innovation and Chief Population Health Officer at Ballad Health (Johnson City, Tenn.)., Meaghan Kim, BSN, RN. Director of Population Health at Temple University Health System (Philadelphia)., Rhonda Medows, MD. President of Population Health Management at Providence (Renton, Wash.)., Adam Myers, MD. Chief of Population Health at Cleveland Clinic and Chair of Cleveland Clinic Community Care., Tina Mycroft. CFO of EvergreenHealth Kirkland (Wash.)., David Nash, MD. Founding Dean Emeritus at Jefferson College of Population Health (Philadelphia)., Carrie Nelson, MD. Senior Vice President and Chief Medical Officer, Population Health and Health Outcomes at Advocate Aurora Health (Milwaukee, Wis., and Downers Grove, Ill.)., Susan Neves. CFO of Hill Country Memorial Hospital (Fredericksburg, Texas)., Judi Nightingale, DrPH, RN. Director of Population Health at Riverside University Health System (Moreno Valley, Calif.)., Derek Novak. President of the Population Health Services Organization at MercyOne (Des Moines, Iowa)., Kara Odom Walker, MD. Chief Population Health Officer at Nemours Children's Health (Melbourne, Fla.)., Dawn O'Neill. Vice President of Population Health at St. Agnes Hospital (Baltimore)., Philip Oravetz, MD. Chief Population Health Officer at Ochsner Health (New Orleans)., Andrew Ozmun. Finance Director of Riverton (Utah) and Alta View Hospital (Sandy, Utah)., Ami Parekh, MD. Chief Medical Officer for Population Health and Clinical Integration at University of California San Francisco Health., James Parr. Executive Vice President of Operations and CFO of Salem (Ore.) Hospital., Samatha Patrick. CFO of Clark Regional Medical Center (Winchester, Ky.) and Bourbon Community Hospital (Paris, Ky.)., Michael Perry. Vice President of Finance and CFO of Mid Coast-Parkview Health (Brunswick, Maine)., Adam Popp. CFO of Prairie Lakes Healthcare System (Watertown, S.D.)., Trever Porter. Finance Director of Intermountain McKay-Dee Hospital (Ogden, Utah)., Tony Reed. Vice President for Population Health Operations at ChristianaCare (Newark, Del.)., Jamie Reedy, MD. Chief of Population Health at Summit Health (Berkeley Heights, N.J.)., Devdutta Sangvai, MD. Vice President for Population Health Management at Duke Health (Durham, N.C.)., Navkiran Shokar, MD. Chair of the Department of Population Health at the University of Texas at Austin Dell Medical School (Austin, Texas)., Mark Sparta. Executive Vice President of Population Health for Hackensack Meridian Health Network and President of Hackensack University Medical Center (Edison, N.J.)., Douglas Spotts, MD. Chief Health Officer of Meritus Health (Hagerstown, Md.)., Nicholas Stine, MD. System Senior Vice President of Enterprise Population Health atCommonSpirit Health (Chicago)., Mark Terpylak, DO. Senior Vice President of Population Health at Summa Health (Akron, Ohio)., Jim Tidwell, MD. Vice President of Population Health of Owensboro Health (Owensboro, Ky.)., Debbie Welle-Powell. Chief Population Health Officer at Essentia Health (Duluth, Minn.)..",Duke Department of Population Health Sciences,https://populationhealth.duke.edu/,none found
1,"NORTHEAST GEORGIA MEDICAL CENTER, INC",System Administration - Northeast Georgia Health System,https://www.nghs.com/administration,Antonio Rios MD Chief of Population Health,Graduate Medical Education (GME) | Northeast Georgia Medical ...,https://www.ngmcgme.org/,none found,"Northeast Georgia Health System, Inc. & Affiliates Executive ...",https://www.nghs.com/wp-content/uploads/2020/08/fy17-exec-summary.pdf,none found
2,CARTERSVILLE MEDICAL CENTER,Board of Directors & Senior Executive Leadership | Piedmont ...,https://www.piedmont.org/about-piedmont-healthcare/board-of-directors/piedmont-healthcare,none found,Community Health Assessment Bartow County,https://nwgapublichealth.org/wp-content/uploads/2019/11/Bartow-Community-Health-Assessment_Final.pdf,none found,Piedmont Cartersville Medical Center | Piedmont Healthcare,https://www.piedmont.org/locations/piedmont-cartersville/about,none found
3,WELLSTAR SPALDING REGIONAL HOSPITAL,Wellstar Spalding Medical Center,https://www.wellstar.org/locations/hospital/spalding-medical-center,none found,Internal Medicine | Spalding Regional Hospital – Wellstar Graduate ...,https://gme.wellstar.org/spalding-regional-hospital/internal-medicine/,none found,Wellstar Executive Leadership,https://www.wellstar.org/about-us/executive-leadership,none found
4,STEPHENS COUNTY HOSPITAL,Community Health Needs Assessment,https://stephenscountyhospital.com/fullpanel/uploads/files/health-needs-assessment-2016.pdf,none found,DUNCAN-7359 Stephens County Community Health Assessment_D ...,https://www.duncanregional.com/wp-content/uploads/2019/03/CHNA2013.pdf,none found,Leadership | OhioHealth,https://www.ohiohealth.com/about-us/leadership,"Carrie Harris-Muller, Senior Vice President and Chief Population Health Officer"
5,AU MEDICAL CENTER,About the School of Public Health,https://www.augusta.edu/sph/about.php,"Teresa Waters, PhD, Dean, School of Public Health",The University of Sydney School of Public Health - Faculty of ...,https://www.sydney.edu.au/medicine-health/schools/sydney-school-of-public-health.html,"Professor Jaime Miranda, Head of School
Professor Camille Raynes-Greenow, Deputy Head of School
John Mitchell, School Manager 
Professor Don Nutbeam, Professor
Professor Lisa Jackson Pulver, Professor",PGY1/PGY2 Health-System Pharmacy Administration & Leadership ...,https://www.augustahealth.org/pharmacy-residency/hspal,"Meredith Lopez, PharmD, MPH, BCACP, Pharmacy Manager, Ambulatory Services"
6,WELLSTAR KENNESTONE HOSPITAL,Wellstar Executive Leadership,https://www.wellstar.org/about-us/executive-leadership,none found,Family Medicine | Kennestone Hospital – Wellstar Graduate Medical ...,https://gme.wellstar.org/kennestone/family-medicine/,none found,2016 Community Health Needs Assessment IMPLEMENTATION,https://www.wellstar.org/-/media/project/wellstar/org/documents/chna/chna_implementation_strategy_2016.pdf?rev=04b054fe77a242a08fc13e705828080a,"Unusual behavior notice: Webpage: 
 AssertionFailureError Failed to goto https://www.wellstar.org/-/media/project/wellstar/org/documents/chna/chna_implementation_strategy_2016.pdf?rev=04b054fe77a242a08fc13e705828080a Error net::ERR_ABORTED at https://www.wellstar.org/-/media/project/wellstar/org/documents/chna/chna_implementation_strategy_2016.pdf?rev=04b054fe77a242a08fc13e705828080a."
7,MEMORIAL HEALTH UNIVERSITY MEDICAL CENTER,Northwestern Memorial HealthCare Corporate Leadership ...,https://www.nm.org/about-us/leadership,none found,Sarasota Memorial Administrators,https://www.smh.com/Home/About-Us/Administrators,"James Fiorica, MD, Chief Medical Officer",Our Leaders at Baptist Memorial Health Care Corporation,https://www.baptistonline.org/about/leadership,none found
8,JOHN D ARCHBOLD MEMORIAL HOSPITAL,2024 Residency Matches | Harrison College of Pharmacy,https://pharmacy.auburn.edu/news/2023-24/042524-residencies.php,none found,"Leadership | Medical Services Thomasville, GA",https://www.archbold.org/about/leadership/,"Julie Dumas, Vice President of Quality & Patient Safety","CMS Posts ED Wait Times, Rankling Some Hospitals ...",https://www.healthleadersmedia.com/clinical-care/cms-posts-ed-wait-times-rankling-some-hospitals,none found
9,NORTHRIDGE MEDICAL CENTER,Northridge Hospital Medical Center | Southern California Hospitals ...,https://www.dignityhealth.org/socal/locations/northridgehospital,"Center for Healthier Communities, Population Health","Mary Evelyn Northridge, PhD, MPH Public Health Leadership in a ...",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4504309/,none found,Executive Leadership | Southern California | Dignity Health | Dignity ...,https://www.dignityhealth.org/socal/about-us/executive-leadership,none found
