,Hospital Name,Title 1,Link 1,Population Health 1,Title 2,Link 2,Population Health 2,Title 3,Link 3,Population Health 3
0,CHATUGE REGIONAL HOSPITAL,Senior Leadership - Union General Health System,https://uniongeneralhealthsystem.com/senior-leadership/,"Unusual behavior notice: Webpage: 
 Error fetching webpage: HTTPSConnectionPool(host='r.jina.ai', port=443): Max retries exceeded with url: /https://uniongeneralhealthsystem.com/senior-leadership/ (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'r.jina.ai'. (_ssl.c:1000)""))).",Georgia Hospital Association > Advocacy > Rural Health Care,https://www.gha.org/Advocacy/Rural-Health-Care,"Unusual behavior notice: Webpage: 
 Error fetching webpage: HTTPSConnectionPool(host='r.jina.ai', port=443): Max retries exceeded with url: /https://www.gha.org/Advocacy/Rural-Health-Care (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'r.jina.ai'. (_ssl.c:1000)""))).",Recent Recognitions - Union General Health System,https://uniongeneralhealthsystem.com/recent-recognitions/,"Unusual behavior notice: Webpage: 
 Error fetching webpage: HTTPSConnectionPool(host='r.jina.ai', port=443): Max retries exceeded with url: /https://uniongeneralhealthsystem.com/recent-recognitions/ (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'r.jina.ai'. (_ssl.c:1000)"")))."
1,WILLS MEMORIAL HOSPITAL,Wills Memorial Hospital Community Health Needs Assessment,https://www.willsmemorialhospital.com/wp-content/uploads/2021/02/2019-WMH-Community-Health-Needs-Assessment-Implementation-Plan.pdf,"Unusual behavior notice: Webpage: 
 Error fetching webpage: HTTPSConnectionPool(host='r.jina.ai', port=443): Max retries exceeded with url: /https://www.willsmemorialhospital.com/wp-content/uploads/2021/02/2019-WMH-Community-Health-Needs-Assessment-Implementation-Plan.pdf (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'r.jina.ai'. (_ssl.c:1000)""))).",Leadership | Department of Public Health | City of Philadelphia,https://www.phila.gov/departments/department-of-public-health/about-us/leadership/,"Unusual behavior notice: Webpage: 
 Error fetching webpage: HTTPSConnectionPool(host='r.jina.ai', port=443): Max retries exceeded with url: /https://www.phila.gov/departments/department-of-public-health/about-us/leadership/ (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'r.jina.ai'. (_ssl.c:1000)""))).",Community Health Needs Assessment,https://www.willsmemorialhospital.com/wp-content/uploads/2022/06/2022-WMH-Community-Health-Needs-Assessment-Implementation-Plan.pdf,"Unusual behavior notice: Webpage: 
 Error fetching webpage: HTTPSConnectionPool(host='r.jina.ai', port=443): Max retries exceeded with url: /https://www.willsmemorialhospital.com/wp-content/uploads/2022/06/2022-WMH-Community-Health-Needs-Assessment-Implementation-Plan.pdf (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'r.jina.ai'. (_ssl.c:1000)"")))."
2,SGMC LANIER CAMPUS,SGMC Promotes Members of Leadership Team - SGMC Health,https://www.sgmc.org/sgmc-promotes-members-of-leadership-team/,"Unusual behavior notice: Webpage: 
 Error fetching webpage: HTTPSConnectionPool(host='r.jina.ai', port=443): Max retries exceeded with url: /https://www.sgmc.org/sgmc-promotes-members-of-leadership-team/ (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'r.jina.ai'. (_ssl.c:1000)""))).",SGMC Annual Report,https://health.sgmc.org/annual-report/2022/leadership-employee-recognition,"Unusual behavior notice: Webpage: 
 Error fetching webpage: HTTPSConnectionPool(host='r.jina.ai', port=443): Max retries exceeded with url: /https://health.sgmc.org/annual-report/2022/leadership-employee-recognition (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'r.jina.ai'. (_ssl.c:1000)""))).",Career Opportunities - SGMC Health,https://www.sgmc.org/career-opportunities/,none found
3,BACON COUNTY HOSPITAL,Bacon County Hospital and Health System Department Directors,https://www.baconcountyhospital.com/getpage.php?name=directors,none found,Bacon County Hospital Advances Toward Population Health ...,https://www.stroudwater.com/case-study/bacon-county-hospital-advances-toward-population-health/,"Matt Mendez, Consultant, Lindsay Corcoran, Consultant, Cindy Turner, CEO, Kyle Southerland, Community Health Coordinator, Kyle Lott, Chief Operating Officer/Director of Pharmacy, DeAnn Flanders, RN, CIC, Director of Quality Management",Hospital History,https://www.baconcountyhospital.com/getpage.php?name=history,none found
4,PHOEBE WORTH MEDICAL CENTER,Phoebe Worth Medical Center opens expanded and renovated ...,https://www.walb.com/2023/12/06/phoebe-worth-medical-center-opens-expanded-renovated-emergency-center/,none found,Phoebe Putney Health System | LinkedIn,https://www.linkedin.com/company/phoebe-putney-memorial-hospital,none found,Bio Candace Guarnieri,https://www.phoebehealth.com/about-us/leadership/bio-Candace-Guarnieri,none found
5,ST MARY'S GOOD SAMARITAN HOSPITAL,Leadership: Meet MedStar Health Leaders | MedStar Health,https://www.medstarhealth.org/about/medstar-health-leadership,none found,2021 Community Health Needs Assessment | SSM Health Illinois,https://www.ssmhealth.com/SSMHealth/media/Documents/about/chna/illinois/ssm-health-southern-illinois-chna-2021.pdf,none found,Community Health Needs Assessment,https://www.stmaryshealthcaresystem.org/assets/documents/financial-and-organizational/good-samaritan-2019-chna-final.pdf,none found
6,POLK MEDICAL CENTER,Polk State's Halverson Participates in Public Health Leadership ...,https://www.polk.edu/news/polk-states-halverson-participates-public-health-leadership-seminar-washington-d-c/,none found,Leadership | Florida Department of Health,https://www.floridahealth.gov/about/ssg/leadership/index.html,none found,Innovation Projects (Infrastructure Fund) - Transforming the Public ...,https://www.health.state.mn.us/communities/practice/systemtransformation/infrastructurefund.html,none found
7,MITCHELL COUNTY HOSPITAL,2021 Mitchell County Community Health Assessment,https://schs.dph.ncdhhs.gov/units/ldas/cha2021/Mitchell2021-CHA.pdf,none found,Mitchell County Regional Health Center,https://www.mcrhc.com/,none found,Connecticut Department of Public Health,https://portal.ct.gov/dph,none found
8,BROOKS COUNTY HOSPITAL,Governor Hochul Announces Agreement With Kaleida Health and ...,https://www.governor.ny.gov/news/governor-hochul-announces-agreement-kaleida-health-and-brooks-tlc-health-systems-build-new,none found,"How Healthy Is Brooks County, Texas? | US News Healthiest ...",https://www.usnews.com/news/healthiest-communities/texas/brooks-county,none found,Public Health Administration,https://www.tarrantcountytx.gov/en/public-health/public-health-administration.html,none found
9,JEFF DAVIS HOSPITAL,Who We Are - Commissioner,https://www.vdh.virginia.gov/commissioner/,"Laurie Forlano, DO, MPH, State Epidemiologist
Suresh Soundararajan, Chief Information Officer
Susan Fischer Davis, M.D., Chief Deputy Commissioner for Community Health Services
Joseph J. Hilbert, Deputy Commissioner for Governmental and Regulatory Affairs",Leadership | Department of Public Health & Environment,https://cdphe.colorado.gov/about-cdphe/leadership,none found,"Administration, Faculty, & Staff",https://www.jefferson.edu/academics/colleges-schools-institutes/population-health/administration-faculty-staff.html,"- Billy Oglesby, PhD MBA MSPH FACHE, Humana Dean of the College of Population Health, Associate Professor
- Jeanne M Felter, PhD LPC, Associate Dean for Academic Affairs, Associate Professor, Director Jefferson Trauma Education Network J TEN
- Alexis Skoufalos, EdD, Associate Dean Strategic Initiatives, Associate Professor, Program Director Doctor of Health Science DHSc in Population Health
- Mitchell A Kaminski, MD MBA, Associate Professor, Program Director Population Health
- Rosemary Rosie Frasso, PhD SM SM CPH, Professor of Population Health, Program Director Public Health
- Sharon L Larson, PhD, Associate Dean for Research, Executive Director Main Line Health Center for Population Health Research at Lankenau Institute for Medical Research"
