,Hospital Name,Title 1,Link 1,Population Health 1,Title 2,Link 2,Population Health 2,Title 3,Link 3,Population Health 3
0,SOUTHEAST HEALTH MEDICAL CENTER,"What's in a name? – Southeast Health | Dothan, AL",https://www.southeasthealth.org/whats-in-a-name/,"none found 
",Southeast Family Health Center | San Francisco,http://www.sf.gov/location/southeast-family-health-center,"unusual behavior notice 
",Southeast Alabama Medical Center Transitions to Southeast Health ...,https://www.southeasthealth.org/southeast-alabama-medical-center-transitions-to-southeast-health/,"none found 
"
1,MARSHALL MEDICAL CENTERS SOUTH CAMPUS,Leadership | Marshall Medical,https://www.marshallmedical.org/about-us/leadership/,"Martin Entwistle M D, Associate Chief Medical Officer VP Population Health and Ancillary Services 
",Senior Leadership Team,https://www.mauryregional.com/about-us/executive-leadership/senior-leadership-team,"Christina Lannom, DO, Chief Medical Officer 
",Students - Student Organizations,https://jcesom.marshall.edu/students/student-organizations/,"The Medical Student Population Health Team, Josh Eastman, Mac Miller 
"
2,NORTH ALABAMA MEDICAL CENTER,Quality Healthcare & Safety,https://www.namccares.com/quality-and-safety,"unusual behavior notice 
",UNC Gillings School of Global Public Health,https://sph.unc.edu/,"unusual behavior notice 
",Workforce Development Projects | MCHB,https://mchb.hrsa.gov/programs-impact/focus-areas/mch-workforce-development/funded-project,"unusual behavior notice 
"
3,MIZELL MEMORIAL HOSPITAL,New leadership brings new opportunities to Mizell Memorial Hospital,https://www.andalusiastarnews.com/2023/06/21/new-leadership-brings-new-opportunities-to-mizell-memorial-hospital/,"none found 
",Welcome to Mizell Memorial Hospital,https://mizell.fastcommand.com/getpage.php?name=staffcontacts&mobile_site=0,Unable to generate because of 429 Resource has been exhausted (e.g. check quota).,The best changes 32 healthcare leaders made this year | Becker's,https://www.beckerspayer.com/leadership/the-best-changes-32-healthcare-leaders-made-this-year.html,Unable to generate because of 429 Resource has been exhausted (e.g. check quota).
4,CRENSHAW COMMUNITY HOSPITAL,Crenshaw Community Hospital - A Leading Healthcare Provider,https://crenshawcommunityhospital.com/,"none found 
","How Healthy Is Crenshaw County, Alabama? | US News Healthiest ...",https://www.usnews.com/news/healthiest-communities/alabama/crenshaw-county,"none found 
",2022 Community Health Needs Assessments (CHNA),https://about.kaiserpermanente.org/content/dam/kp/mykp/documents/reports/community-health/west-los-angeles-chna-2022.pdf,"none found 
"
5,ST VINCENT'S EAST,Mass. public health leader says care at St. Vincent Hospital is safe ...,https://www.telegram.com/story/news/2024/07/14/mass-dph-report-praises-care-at-st-vincent-hospital/74352292007/,"none found 
",2021 CHNA - Ascension St. Vincent's East,https://healthcare.ascension.org/-/media/healthcare/compliance-documents/alabama/2021-chna-ascension-st-vincents-east.pdf,"none found 
",Ascension St. Vincent's (AL) Leadership | Ascension,https://about.ascension.org/about-us/leadership/alabama-leadership,"unusual behavior notice 
"
6,DEKALB REGIONAL MEDICAL CENTER,Parkview Health Executive Leadership,http://www.parkview.com/about-us/parkview-leadership/parkview-executive-leadership,"unusual behavior notice 
",Our Leadership | Baptist Health Montgomery,https://www.baptistfirst.org/about-us/our-leadership,"unusual behavior notice 
",Governor Ivey Holds Fifth Stop on Statewide Broadband Tour to ...,https://governor.alabama.gov/newsroom/2024/02/governor-ivey-holds-fifth-stop-on-statewide-broadband-tour-to-discuss-high-speed-internet-expansion-in-dekalb-jackson-counties/,Unable to generate because of 429 Resource has been exhausted (e.g. check quota).
7,SHELBY BAPTIST MEDICAL CENTER,Shelby Baptist Medical Center 2022 Community Health Needs ...,https://www.brookwoodbaptisthealth.com/docs/librariesproviderbrookwoodhealth/chna/sp27142-bbh-sbmc-chna-final-12-14-22.pdf?sfvrsn=6812e07d_2,"none found 
",WALKER BAPTIST MEDICAL CENTER 2022 COMMUNITY ...,https://www.walkerbaptistmedicalcenter.com/docs/librariesproviderbrookwoodhealth/chna/sp27142-bbh-wbmc-chna-final-12-14-22.pdf?sfvrsn=5fbe1ac4_2,"none found 
",Shelby Baptist Chief Medical Officer Named to National List of ...,https://www.brookwoodbaptisthealth.com/home/newsroom/shelby-baptist-chief-medical-officer-named-to-national-list-of-african-american-leaders-to-know-in-healthcare-for-second-consecutive-year,"none found 
"
8,UAB CALLAHAN EYE HOSPITAL AUTHORITY,UAB Callahan Eye Hospital & Clinics - Birmingham,https://www.uabmedicine.org/wp-content/uploads/sites/3/2023/02/CHNA-UAB-Callahan-2019_FINAL_Approved.pdf,"none found 
",Executive Director-Environmental Health & Safety,https://www.uab.edu/humanresources/executivesearch/images/ExecutiveDirectorEHS_Position_Prospectus.pdf,"none found 
",Community Health Needs Assessment - Birmingham,https://www.uabmedicine.org/wp-content/uploads/sites/3/2023/02/Callahan-CHNA-2022.pdf,"none found 
"
9,HELEN KELLER MEMORIAL HOSPITAL,149 Black healthcare leaders to know | 2023,https://www.beckershospitalreview.com/lists/149-black-healthcare-leaders-to-know-2023.html,"Nichola Davis, MD. Vice President and Chief Population Health Officer of NYC Health + Hospitals (New York City). 
Paul Alexander, MD. Executive Vice President and Chief Health Equity and Transformation Officer at RWJBarnabas Health (Orange, N.J.). 
Evelyn Balogun, MD. Chief Medical Officer of Inspira Medical Group (Mullica Hill, N.J.). 
",Speakers - U-M School of Public Health,https://sph.umich.edu/glc/initiatives/symposia/2019-glc-symposium/speakers.html,"Rose Marie Martinez, Sc.D., Senior Board Director, Board on Population Health and Public Health Practice 
",ANCHORING EQUITY: Thoughts from Spaulding Rehabilitation's ...,https://www.mhalink.org/voicesinhealthcare/anchoring-equity-thoughts-from-spaulding-rehabilitation-networks-lynne-brady-wagner/,"none found 
"
