,Hospital Name,Title 1,Link 1,Population Health 1,Title 2,Link 2,Population Health 2,Title 3,Link 3,Population Health 3
0,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK,Our Leaders at Baptist Memorial Health Care Corporation,https://www.baptistonline.org/about/leadership,"none found 
",Brittney Marshall - Baptist Health,https://www.linkedin.com/in/brittney-marshall-65447a212,"none found 
",Rotations and Training - Baptist Health UAMS GME,https://baptisthealth-uams-gme.org/psychiatry/rotations-and-training/,"none found 
"
1,ARKANSAS METHODIST MEDICAL CENTER,2023-2026 Community Health Needs Assessment,https://myammc.org/files/documents/Final%20CHNA%20Community%20Report%20Greene%20Co%20FINAL.pdf,"none found 
",Our Leadership | Methodist Health System,https://www.methodisthealthsystem.org/about/leadership/,"none found 
",IU Health Leadership | IU Health,https://iuhealth.org/about-our-system/iu-health-leadership,"none found 
"
2,ST MARYS REGIONAL MEDICAL CENTER,Sitemap,https://www.trinity-health.org/sitemap.aspx,"none found 
",Executive Leadership | Southern California | Dignity Health | Dignity ...,https://www.dignityhealth.org/socal/about-us/executive-leadership,"none found 
",St. Mary's County Health Department: Home,https://smchd.org/,"none found 
"
3,FIVE RIVERS MEDICAL CENTER,St. Bernards Five Rivers Medical Center Community Health Needs ...,https://www.stbernards.info/app/files/public/d607e227-f061-4679-87ba-1db7d6d8ce0d/Community%20Health%20Needs%20Assessments/Five%20Rivers%20CHNA.PDF,"none found 
",Organization | Five Rivers MetroParks,https://www.metroparks.org/about/organization/,"unusual behavior notice 
",Five Rivers Health Centers Story,https://www.fiverivershealthcenters.org/about,"unusual behavior notice 
"
4,OUACHITA COUNTY MEDICAL CENTER,Leadership Dialogue Series: Peggy Abbott from Ouachita County ...,https://www.aha.org/advancing-health-podcast/2022-09-26-leadership-dialogue-series-peggy-abbott-ouachita-county-medical,"none found 
",ouachita county medical center 2021 community health needs ...,https://www.ouachitamedcenter.com/Content/Uploads/ouachitamedcenter.com/files/2021%20OCMC%20CHNA.pdf,"none found 
",Project Search – Partners,https://projectsearcharkansas.org/partners/,"unusual behavior notice 
"
5,DREW MEMORIAL HOSPITAL,Charles R. Drew University of Medicine & Science I A Private ...,https://www.cdrewu.edu/,"none found 
",Executive Leadership | Southern California | Dignity Health | Dignity ...,https://www.dignityhealth.org/socal/about-us/executive-leadership,"none found 
",Cone Health Leadership | Cone Health,https://www.conehealth.com/about-us/leadership/,"Danielle Phelps Swartz, Vice President Population Health 
"
6,BAPTIST HEALTH - FORT SMITH,Rotations and Training - Baptist Health UAMS GME,https://baptisthealth-uams-gme.org/psychiatry/rotations-and-training/,"none found 
",Our Leadership | Baptist Health Montgomery,https://www.baptistfirst.org/about-us/our-leadership,"unusual behavior notice 
",Our Leaders at Baptist Memorial Health Care Corporation,https://www.baptistonline.org/about/leadership,"none found 
"
7,MERCY HOSPITAL FORT SMITH,Mercy Leadership Team | Mercy,https://www.mercy.net/about/leadership/,"none found 
",Mercy Health System Leadership,https://www.mercy.com/about-us/leadership/system,"Wael Haidar, MD, Chief Clinical Officer 
","Froedtert ThedaCare Health, Inc., Executive Leadership",https://www.froedtert.com/about/executive-leadership,"Imran Andrabi MD FAAFM, President and CEO
Ian Schwartz MD, Chief Clinical Officer 
"
8,MAGNOLIA REGIONAL MEDICAL CENTER,Table of Contents,http://magnoliarmc.org/wp-content/uploads/2023/01/MRMC-Assessment-FINAL.pdf,"unusual behavior notice 
","Michael Adcock, MS, RN, FACHE",https://www.healthit.gov/hitac/member/adcock,"unusual behavior notice 
",Magnolia Regional Medical Center Arkansas,https://magnoliarmc.org/,"none found 
"
9,GREAT RIVER MEDICAL CENTER,Leadership Draft | Great River Health,https://www.greatriverhealth.org/about-us/leadership/,"none found 
",Cheyenne River Health Center | Healthcare Facilities,https://www.ihs.gov/greatplains/healthcarefacilities/cheyenneriver/,"none found 
",Pritchard Named Employee Of The Month At Great River Medical ...,https://www.greatriverhealth.org/news/2021/april/pritchard-named-employee-of-the-month-at-great-r/,"none found 
"
10,JEFFERSON REGIONAL MEDICAL CENTER,"Leadership | Jefferson, Abington & Aria. Better Together.",https://www.jefferson.edu/leadership.html,"none found 
",Untitled,https://www.jrmc.org/wp-content/uploads/2022/11/Jefferson-Regional-CHNA-final_-11.5.2022.pdf,"unusual behavior notice 
","Oglesby, Billy",https://www.jefferson.edu/academics/colleges-schools-institutes/population-health/administration-faculty-staff/faculty/oglesby.html,"unusual behavior notice 
"
11,BAPTIST HEALTH MEDICAL CENTER-STUTTGART,Our Leaders at Baptist Memorial Health Care Corporation,https://www.baptistonline.org/about/leadership,Unable to generate because of 429 Resource has been exhausted (e.g. check quota).,Baptist Health,https://www.facebook.com/baptisthealth/,Unable to generate because of 429 Resource has been exhausted (e.g. check quota).,Baptist Health welcomes Dr. Michelle Larson with a reception at ...,https://www.stuttgartdailyleader.com/baptist-health-welcomes-dr-michelle-larson-with-a-reception-at-stuttgart-medical-center/,Unable to generate because of 429 Resource has been exhausted (e.g. check quota).
