,Hospital Name,Title 1,Link 1,Population Health 1,Title 2,Link 2,Population Health 2,Title 3,Link 3,Population Health 3
0,ROSE MEDICAL CENTER,University of Utah Celebrates Opening of New Population Health ...,https://healthcare.utah.edu/press-releases/2023/10/university-of-utah-celebrates-opening-of-new-population-health-center-rose,"- Taylor Randall, President of the University of Utah
- Gina Hawley, COO University of Utah Health Hospitals and Clinics",Leadership | OhioHealth,https://www.ohiohealth.com/about-us/leadership,"Carrie Harris-Muller, Senior Vice President and Chief Population Health Officer",Denver Health Leadership Team | Denver Health,https://www.denverhealth.org/about-denver-health/leadership,"Romana Hasnain-Wynia, PhD, oversees Denver Health’s academic mission in research, education, and public health through the Office of Academic Affairs and Public Health to further Denver Health’s role as a Learning Health System to advance equity."
1,SWEDISH MEDICAL CENTER,UW names population health building after Swedish physician and ...,https://www.washington.edu/news/2019/10/10/uw-names-population-health-initiative-building-after-swedish-physician-and-very-serious-possibilist-hans-rosling/,"Ali H. Mokdad, Chief Strategy Officer for Population Health and Professor of Health Metrics Sciences","Public Health – Seattle & King County - King County, Washington",https://www.kingcounty.gov/en/dept/dph,none found,Andrea Ramirez - Director of Population Health - Swedish | LinkedIn,https://www.linkedin.com/in/amramirez502,none found
2,COLORADO PLAINS MEDICAL CENTER,"Center for Health, Work & Environment | Colorado School of Public ...",https://coloradosph.cuanschutz.edu/research-and-practice/centers-programs/chwe,none found,Denver Health Leadership Team | Denver Health,https://www.denverhealth.org/about-denver-health/leadership,"Romana Hasnain-Wynia, PhD, oversees Denver Health’s academic mission in research, education, and public health through the Office of Academic Affairs and Public Health to further Denver Health’s role as a Learning Health System to advance equity.",Colorado School of Public Health,https://coloradosph.cuanschutz.edu/,none found
3,UCHEALTH YAMPA VALLEY MEDICAL CENTER,UCHealth Yampa Valley Medical Center | Steamboat Springs,https://www.uchealth.org/locations/uchealth-yampa-valley-medical-center/,none found,Administrative Fellowship Northern Colorado in Fort Collins ...,https://careers.uchealth.org/jobs/14585125-administrative-fellowship-northern-colorado,none found,UCHealth Northern Colorado Leadership | Steamboat | Loveland,https://www.uchealth.org/about/leadership/northern-colorado-leadership/,none found
4,COMMUNITY HOSPITAL,58 population health executives to know | 2022,https://www.beckershospitalreview.com/lists/58-population-health-executives-to-know-2022.html,"Parag Agnihotri, MD. Chief Medical Officer of Population Health Services at UCSD Health (San Diego)., Daphne Bascom, MD, PhD. Vice President of Population Health at Saint Luke's Health System (Kansas City, Mo.)., Scott Berkowitz, MD. Chief Population Health Officer and Vice President of Population Health at Johns Hopkins Medicine (Baltimore)., Marilu Bintz, MD. Senior Vice President of Health Population and Strategy at Gunderson Health System (La Crosse, Wis.)., Tangerine Brigham. Chief Administrative Officer, Population Health, at Alameda (Calif.) Health System., Marta Brito Perez. Senior Vice President of Population Health and Post Acute Care Services at Adventist HealthCare (Gaithersburg, Md.)., Mallory Callahan. Director of Population Health Management and Innovation for Nebraska Health Network (Omaha)., Chuck Callahan, DO. Vice President of Population Health for the University of Maryland Medical Center (Baltimore)., Steven Carson, BSN, RN. Senior Vice President, Population Health, Temple University Health System (Philadelphia)., Sang-ick Chang, MD. Division Chief of Primary Care and Population Health of Stanford (Calif.) Medicine., Nichola Davis, MD. Vice President, Chief Population Health Officer  for NYC Health+Hospitals., Desiree de la Torre. Director of Community Affairs and Population Health Improvement of Children's National (Washington, D.C.)., Dan Edelman, DO. Chief Medical Information Officer, Florida Region, and Chief Population Health Officer of Cleveland Clinic (Weston, Fla.)., Kristine Fay. Chief Officer of Population Health and Physician Services at Lee Health (Fort Myers, Fla.)., Rob Fields, MD. Executive Vice President and Chief Population Health Officer of Mount Sinai Health System (New York)., Don Franke. CEO of Amita Health Care Networks and Senior Vice President of Population Health at Amita Health (Arlington Heights, Ill.)., Kristene Grayem, MSN. Chief Population Health Officer and Executive Director of Akron (Ohio) Children's Health Collaborative., Reshma Gupta, MD. Chief of Population Health and Accountable Care at the University of California, Davis., Patrick Hammond, MHA. Chief Market Services Officer and Chief Innovations and Population Health Officer, Emory Healthcare; CEO, Emory Healthcare Network (Atlanta)., Terri Hanlon-Bremer, MSN, RN. Senior Vice President of Employer Solutions and Population Health at TriHealth (Cincinnati)., Carrie Harris-Muller. Senior Vice President and Chief Population Health Officer at OhioHealth (Columbus)., Susan Hawkins. Senior Vice President of Population Health at Henry Ford Health System (Detroit)., Ethan Helm, MD. Vice Chancellor of Population Health for Rutgers Biomedical and Health Sciences and Deputy Chief Population Health Officer at RWJBarnabas Health (West Orange, N.J.)., Jennifer Houlihan. Vice President of Value-Based Care and Population Health at Atrium Health Wake Forest Baptist (Winston-Salem, N.C.)., Jonathan Jaffery, MD. Chief Population Health Officer at UW Health (Madison, Wis.)., Bill Johnjulio, MD. Chief Population Health Officer of Allegheny Health Network (Pittsburgh)., Lindsay Jubelt, MD. Chief Population Health Officer of Mass General Brigham (Boston)., Anthony Keck. Executive Vice President for System Innovation and Chief Population Health Officer at Ballad Health (Johnson City, Tenn.)., Meaghan Kim, BSN, RN. Director of Population Health at Temple University Health System (Philadelphia)., Rhonda Medows, MD. President of Population Health Management at Providence (Renton, Wash.)., Adam Myers, MD. Chief of Population Health at Cleveland Clinic and Chair of Cleveland Clinic Community Care., Tina Mycroft. CFO of EvergreenHealth Kirkland (Wash.)., David Nash, MD. Founding Dean Emeritus at Jefferson College of Population Health (Philadelphia)., Carrie Nelson, MD. Senior Vice President and Chief Medical Officer, Population Health and Health Outcomes at Advocate Aurora Health (Milwaukee, Wis., and Downers Grove, Ill.)., Susan Neves. CFO of Hill Country Memorial Hospital (Fredericksburg, Texas)., Judi Nightingale, DrPH, RN. Director of Population Health at Riverside University Health System (Moreno Valley, Calif.)., Derek Novak. President of the Population Health Services Organization at MercyOne (Des Moines, Iowa)., Kara Odom Walker, MD. Chief Population Health Officer at Nemours Children's Health (Melbourne, Fla.)., Dawn O'Neill. Vice President of Population Health at St. Agnes Hospital (Baltimore)., Philip Oravetz, MD. Chief Population Health Officer at Ochsner Health (New Orleans)., Andrew Ozmun. Finance Director of Riverton (Utah) and Alta View Hospital (Sandy, Utah)., Ami Parekh, MD. Chief Medical Officer for Population Health and Clinical Integration at University of California San Francisco Health., James Parr. Executive Vice President of Operations and CFO of Salem (Ore.) Hospital., Samatha Patrick. CFO of Clark Regional Medical Center (Winchester, Ky.) and Bourbon Community Hospital (Paris, Ky.)., Michael Perry. Vice President of Finance and CFO of Mid Coast-Parkview Health (Brunswick, Maine)., Adam Popp. CFO of Prairie Lakes Healthcare System (Watertown, S.D.)., Trever Porter. Finance Director of Intermountain McKay-Dee Hospital (Ogden, Utah)., Tony Reed. Vice President for Population Health Operations at ChristianaCare (Newark, Del.)., Jamie Reedy, MD. Chief of Population Health at Summit Health (Berkeley Heights, N.J.)., Devdutta Sangvai, MD. Vice President for Population Health Management at Duke Health (Durham, N.C.)., Navkiran Shokar, MD. Chair of the Department of Population Health at the University of Texas at Austin Dell Medical School (Austin, Texas)., Mark Sparta. Executive Vice President of Population Health for Hackensack Meridian Health Network and President of Hackensack University Medical Center (Edison, N.J.)., Douglas Spotts, MD. Chief Health Officer of Meritus Health (Hagerstown, Md.)., Nicholas Stine, MD. System Senior Vice President of Enterprise Population Health atCommonSpirit Health (Chicago)., Mark Terpylak, DO. Senior Vice President of Population Health at Summa Health (Akron, Ohio)., Jim Tidwell, MD. Vice President of Population Health of Owensboro Health (Owensboro, Ky.)., Debbie Welle-Powell. Chief Population Health Officer at Essentia Health (Duluth, Minn.)..",Jorge Reyno | Vice President of Population Health at MLKCH,https://www.mlkch.org/our-leaders/jorge-reyno,"Dr. Jorge Reyno, Senior Vice President of Population Health","""Economic Development is Population Health"": A New Vision for ...",https://www.ruralhealthinfo.org/rural-monitor/economic-development,none found
5,CENTURA HEALTH-PORTER ADVENTIST HOSPITAL,Meet the Mountain Region Leadership Team | CommonSpirit,https://www.mountain.commonspirit.org/about-commonspirit/leadership,none found,AdventHealth Porter,https://www.adventhealth.com/hospital/adventhealth-porter,none found,Emory Healthcare names new chief nurse executive,https://news.emory.edu/stories/2016/09/ehc_names_new_chief_nurse_executive_pappas/,"Sharon H. Pappas, PhD, RN, NEA-BC, FAAN, Chief Nurse Executive"
6,NORTH SUBURBAN MEDICAL CENTER,North Suburban Medical Center,https://www.healthonecares.com/locations/north-suburban-medical-center,none found,NSMC Hospital Transformation Program,https://hcah-p-001-delivery.stylelabs.cloud/api/public/content/9f38b7de7d6344fe8476d0431f5ed237?v=280b0b70,none found,Public Health Foundation Board - UNC Gillings School of Global ...,https://sph.unc.edu/gift/public-health-foundation-board/,none found
7,DELTA COUNTY MEMORIAL HOSPITAL,Johns Hopkins Bloomberg School of Public Health,https://publichealth.jhu.edu/,none found,Delta Health | A county-wide healthcare system | Delta County,https://deltahealthco.org/,none found,Public Health Foundation Board - UNC Gillings School of Global ...,https://sph.unc.edu/gift/public-health-foundation-board/,none found
8,VALLEY VIEW HOSPITAL ASSOCIATION,"Valley View Hospital | Glenwood Springs, Colorado",https://www.vvh.org/,none found,Leadership | Valley Health,https://www.valleyhealthlink.com/about-us/leadership/,"Mark Nantz, President and CEO",Valley View Hospital 2021 Community Health Needs Assessment,https://www.vvh.org/wp-content/uploads/2023/12/2022-VVH-CHNA-Implementation-Plan.pdf,none found
9,STERLING REGIONAL MEDCENTER,"Sterling Regional MedCenter in Sterling, CO | Banner Health",https://www.bannerhealth.com/locations/sterling/sterling-regional-medcenter,none found,Sterling Regional MedCenter recognized as healthcare leader for ...,https://www.journal-advocate.com/2022/04/26/sterling-regional-medcenter-recognized-as-healthcare-leader-for-older-adults/,"Rosemary Coody, Senior Quality Manager",Banner Health 2022 CHNA - Sterling Regional MedCenter,https://www.bannerhealth.com/-/media/files/project/bh/chna-reports/2022/colorado/sterling-regional-medcenter-sterling.ashx,none found
