,Hospital Name,Title 1,Link 1,Population Health 1,Title 2,Link 2,Population Health 2,Title 3,Link 3,Population Health 3
0,CORONA REGIONAL MEDICAL CENTER,"Welcome to Corona Regional Medical Center | Corona, CA",https://www.swhcoronaregional.com/,"unusual behavior notice 
","44,000+ Public Health Leadership Jobs, Employment July 18, 2024 ...",https://www.indeed.com/q-public-health-leadership-jobs.html,"unusual behavior notice 
","About Corona Regional Medical Center | Corona, CA",https://www.swhcoronaregional.com/about,"unusual behavior notice 
"
1,SALINAS VALLEY MEMORIAL HOSPITAL,Executive Leadership - Tanner Health System,https://www.tanner.org/about-us/executive-leadership,"Clint Hoffman, MBA FACHE, Senior Vice President Tanner Medical Group 
",President/CEO Pete Delgado: Healthcare Diversity Leader | SVMHS,https://community.salinasvalleyhealth.com/issue/2021/president-ceo-pete-delgado-is-a-modern-healthcare-diversity-leader/,"none found 
",Home - Salinas Valley Memorial Healthcare | 2022-2023 Nursing ...,https://nursing.salinasvalleyhealth.com/,"none found 
"
2,ADVENTIST HEALTH SONORA,Adventist Health Leadership Team,https://www.adventisthealth.org/about-us/leadership-team/,"none found 
","Dr. Alexa L Calfee, MD - Sonora, CA - Obstetrics and Gynecology",https://doctors.adventisthealth.org/provider/Alexa+L+Calfee/1602979,Unable to generate because of 429 Resource has been exhausted (e.g. check quota).,Adventist Health Sonora Administrative Team,https://www.adventisthealth.org/sonora/about-us/leadership/administrative-team/,"none found 
"
3,ADVENTIST HEALTH LODI MEMORIAL,Lodi Memorial Hospital - 2017 Community Health Plan ...,https://www.adventisthealth.org/documents/lodi-memorial/2017-community-health-implemenation-stategy-2016.pdf,Unable to generate because of 429 Resource has been exhausted (e.g. check quota).,Triage tent at Adventist Health Lodi Memorial comes down | News ...,https://www.lodinews.com/news/article_062a2f38-a144-11ea-9a68-37301303cc60.html,Unable to generate because of 429 Resource has been exhausted (e.g. check quota).,Adventist Health Leadership Team,https://www.adventisthealth.org/about-us/leadership-team/,Unable to generate because of 429 Resource has been exhausted (e.g. check quota).
4,PIONEERS MEMORIAL HEALTHCARE DISTRICT,Our History - Pioneers Memorial Healthcare District,http://pmhd.org/our-history/,Unable to generate because of 429 Resource has been exhausted (e.g. check quota).,5 - Year P R I Me Project Plan Pioneers Memorial Health Care District,https://www.dhcs.ca.gov/provgovpart/Documents/PRIME/Approved_5-Year_PRIME_Project_Plans/PRIMEPlan_PMHD.pdf,Unable to generate because of 429 Resource has been exhausted (e.g. check quota).,Untitled,https://www.sanfordhealth.org/-/media/org/files/about/community-health-needs-assessment/2019-chna-final-report-pioneer-memorial-viborg-sd.pdf,Unable to generate because of 429 Resource has been exhausted (e.g. check quota).
5,UNIVERSITY OF CALIFORNIA IRVINE MEDICAL CENTER,Department of Population Health & Disease Prevention ...,https://publichealth.uci.edu/departments/population-health-disease-prevention/,Unable to generate because of 429 Resource has been exhausted (e.g. check quota).,Administration & Leadership | University of California Health,https://health.universityofcalifornia.edu/about-us/administration-leadership,Unable to generate because of 429 Resource has been exhausted (e.g. check quota).,UC Irvine: Home,https://uci.edu/,Unable to generate because of 429 Resource has been exhausted (e.g. check quota).
6,BEVERLY HOSPITAL,Senior Leadership,https://beverlyhospital.org/about/leadership/senior-leadership,"none found 
",Senior Leadership | Beth Israel Lahey Health,https://bilh.org/about/leadership/executive-team,"unusual behavior notice 
",About Beverly Hospital,https://beverlyhospital.org/about,"none found 
"
7,TORRANCE MEMORIAL MEDICAL CENTER,Leadership | Torrance Memorial IPA,https://www.torrancememorialipa.org/ipa/about/leadership/,"Yumiko Lee, Executive Director, Value Based Initiatives and Population Health 
",Leadership | Torrance Memorial,https://www.torrancememorial.org/about-us/leadership/,"none found 
",The Team At Uncompahgre Medical Center,https://umclinic.org/team/,"unusual behavior notice 
"
8,BARTON MEMORIAL HOSPITAL,Leadership | Lake Tahoe | Barton Health,https://www.bartonhealth.org/about-us/leadership/,"none found 
",CoxHealth Leadership | CoxHealth,https://www.coxhealth.com/about-us/coxhealth-leadership/,"none found 
",Dual-Campus | Barton Health,https://www.bartonhealth.org/about-us/dual-campus/,"none found 
"
9,PROVIDENCE LITTLE COMPANY OF MARY MED CTR TORRANCE,Little Company of Mary Medical Center Torrance | Providence,https://www.providence.org/locations/socal/plcm-torrance,"unusual behavior notice 
",Claire T. Dundon on LinkedIn: That's a wrap on week 3! My time in ...,https://www.linkedin.com/posts/clairedundon_thats-a-wrap-on-week-3-my-time-in-la-activity-6946146070720643072-CZEN,"none found 
",About Little Company of Mary Torrance | Providence,https://www.providence.org/locations/socal/plcm-torrance/about-us,"unusual behavior notice 
"
10,GOLETA VALLEY COTTAGE HOSPITAL,Administrative Team - Cottage Health Medical Staff,https://www.cottagehealth.org/about/leadership/administrative-team/,"Katy Bazylewicz, MA, CMO and Vice President for Population Health 
",Community Strategy,https://stmlcottagehealthncus001.blob.core.windows.net/public/Cottage_Center_for_Population_Health_CHNA_Implementation_Strategy_2023.04.28.pdf,"Ronald C. Werft, President & CEO, Cottage Health
Steven C. Zola, Chair, Cottage Health Board of Directors 
",Community Benefit - Health Needs Assessment - Cottage Health,https://www.cottagehealth.org/about/community-benefit/,"none found 
"
11,MARINHEALTH MEDICAL CENTER,Executive Team | MarinHealth | Greenbrae Hospital,https://www.mymarinhealth.org/about-us/executive-team/,"none found 
",Marin health leaders say COVID-19 helped fortify system,https://www.marinij.com/2024/03/16/marin-health-leaders-say-covid-19-helped-fortify-system/,"none found 
",Hospital Board & Members | MarinHealth | Greenbrae Hospital,https://www.mymarinhealth.org/about-us/hospital-board-members/,"none found 
"
12,NORTHBAY MEDICAL CENTER,NorthBay's History | NorthBay Health,https://www.northbay.org/about/history.cfm,"none found 
",NorthBay Healthcare 2020 Annual Report,https://annualreport.northbay.org/2020/about-us/about.html,"none found 
",Facilities and Locations | Physician Careers | NorthBay Health,https://www.northbay.org/careers/physician/facilities-locations.cfm,"unusual behavior notice 
"
13,LAC+USC MEDICAL CENTER,USC Keck School of Medicine,https://keck.usc.edu/,"none found 
",Leadership - Health Services Los Angeles County,https://dhs.lacounty.gov/who-we-are/leadership_new/,"Nina J. Park, M.D., CHIEF DEPUTY DIRECTOR, POPULATION HEALTH 
",Residency - Department of Family Medicine,https://keck.usc.edu/family-medicine/training-education/residency-program/,"none found 
"
14,LAC/HARBOR-UCLA MED CENTER,Leadership - Harbor-UCLA Medical Center,https://dhs.lacounty.gov/harbor-ucla-medical-center/leadership/,"none found 
",Harbor-UCLA Medical Center: Graduate Medical Education,https://www.harbor-ucla.org/,"none found 
",Leadership - Health Services Los Angeles County,https://dhs.lacounty.gov/who-we-are/leadership_new/,"Nina J. Park, M.D., CHIEF DEPUTY DIRECTOR, POPULATION HEALTH 
"
15,PACIFICA HOSPITAL OF THE VALLEY,Pacifica Hospital,https://pacificahospital.com/,Unable to generate because of 429 Resource has been exhausted (e.g. check quota).,Top Safety Net Provider HONOREE: Pacifica Hospital of the Valley ...,https://labusinessjournal.com/business-journal-events/top-safety-net-provider-honoree-pacifica-hospital-of-the-valley/,Unable to generate because of 429 Resource has been exhausted (e.g. check quota).,President/Chief Executive Officer - https://www.pacificahospital.com,https://pacificahospital.com/ceo-president-precious-mays-2/,Unable to generate because of 429 Resource has been exhausted (e.g. check quota).
16,GOOD SAMARITAN HOSPITAL,Our leadership team | Good Samaritan Hospital,https://goodsamsanjose.com/about/our-leadership-team.dot,Unable to generate because of 429 Resource has been exhausted (e.g. check quota).,Leadership | TriHealth,https://www.trihealth.com/about-trihealth/our-leadership,Unable to generate because of 429 Resource has been exhausted (e.g. check quota).,Leadership: Meet MedStar Health Leaders | MedStar Health,https://www.medstarhealth.org/about/medstar-health-leadership,Unable to generate because of 429 Resource has been exhausted (e.g. check quota).
17,EMANATE HEALTH INTER-COMMUNITY HOSPITAL,"Two Emanate Health Leaders Named ""Women of Influence: Health ...",https://www.emanatehealth.org/news/releases/two-emanate-health-leaders-named-women-of-influence-health-care-in-los-angeles/,Unable to generate because of 429 Resource has been exhausted (e.g. check quota).,Roger Sharma Steps Up at Emanate Health - American Healthcare ...,https://americanhealthcareleader.com/2022/roger-sharma-steps-up-at-emanate-health/,Unable to generate because of 429 Resource has been exhausted (e.g. check quota).,Leadership | Emanate Health,https://www.emanatehealth.org/about-us/leadership/,Unable to generate because of 429 Resource has been exhausted (e.g. check quota).
18,HEMET GLOBAL MEDICAL CENTER,hemetglobalmedcenter.com: 家具,https://www.hemetglobalmedcenter.com/,"unusual behavior notice 
",Anaheim Global Medical Center: Home,https://www.anaheimglobalmedicalcenter.com/,"unusual behavior notice 
",Chukwuemeka Umeh - Hemet & Menifee Global Medical Centers,https://www.linkedin.com/in/chukwuemeka-umeh-b945b128,"none found 
"
19,PIH HOSPITAL - DOWNEY,Our Leadership | PIH Health,https://www.pihhealth.org/about-us/leadership/,"none found 
","Leticia Valadez, MBA on LinkedIn: I'm happy to share that I've ...",https://www.linkedin.com/posts/leticiavaladez_im-happy-to-share-that-ive-obtained-a-new-activity-7212840716073361408-Or5W,"none found 
",PIH Health Community Benefit Report - Fiscal Year 2022,https://www.pihhealth.org/app/files/public/be31dd60-2a77-4f29-b6a9-f8a8b4eab60d/Community%20Benefit%20Report%202022.pdf,"none found 
"
20,COMMUNITY MEMORIAL HOSPITAL SAN BUENAVENTURA,"Healthcare Services in Ventura County, CA | Community Memorial ...",https://www.mycmh.org/,"unusual behavior notice 
","Kristine Supple PA-C,MPH - Community Memorial Healthcare",https://www.linkedin.com/in/kristine-supple-pa-c-mph-83a7ba120,"none found 
","Executive Team | Healthcare Services in Ventura County, CA",https://www.mycmh.org/about-us/executive-team/,"none found 
"
21,SANTA BARBARA COTTAGE HOSPITAL,Population Health - Cottage Health,https://www.cottagehealth.org/population-health/,"none found 
",Cottage Health - The Giving List,https://www.givinglistsantabarbara.com/company/cottagehealth/,"none found 
",Administrative Team - Cottage Health Medical Staff,https://www.cottagehealth.org/about/leadership/administrative-team/,"Katy Bazylewicz MA, Vice President Population Health 
"
22,CHINESE HOSPITAL,"Chinese Hospital's CEO, Dr. Jian Zhang Honored in Forbes 50 Over ...",https://chinesehospital-sf.org/dr-jian-zhang-forbes/,Unable to generate because of 429 Resource has been exhausted (e.g. check quota).,A Call for Leadership and Management Competency Development ...,https://pubmed.ncbi.nlm.nih.gov/32971760/,Unable to generate because of 429 Resource has been exhausted (e.g. check quota).,A Call for Leadership and Management Competency Development ...,https://www.mdpi.com/1660-4601/17/18/6913,"none found 
"
23,KAISER FOUNDATION HOSPITAL - SOUTH BAY,2022 Community Health Needs Assessments (CHNA).,https://about.kaiserpermanente.org/content/dam/kp/mykp/documents/reports/community-health/south-bay-chna-2022.pdf,"none found 
",South Bay Medical Center | Kaiser Permanente,https://healthy.kaiserpermanente.org/southern-california/facilities/south-bay-medical-center-100049,"unusual behavior notice 
",Kaiser Permanente Community Health in Southern California ...,https://community.kp.org/about/service-area/south-bay,"unusual behavior notice 
"
24,MERCY HOSPITAL OF FOLSOM,Mercy Leadership Team | Mercy,https://www.mercy.net/about/leadership/,"none found 
",Mercy Hospital of Folsom | Sacramento Hospitals | Dignity Health ...,https://www.dignityhealth.org/sacramento/locations/mercy-hospital-of-folsom,"none found 
",Senior Executives | Parkland Health,https://www.parklandhealth.org/senior-executives,"unusual behavior notice 
"
25,SUTTER COAST HOSPITAL,Sutter Health Leadership,https://www.sutterhealth.org/about/leadership,"unusual behavior notice 
",Sutter Health - Wikipedia,https://en.wikipedia.org/wiki/Sutter_Health,"none found 
",Sutter Coast Hospital | Sutter Health,https://www.sutterhealth.org/coast,"none found 
"
26,PALO VERDE HOSPITAL,"Leadership | Palo Verde Health Systems, CA",https://www.paloverdehospital.org/77/Leadership,"none found 
",Quick Links • Site Links,https://paloverdehospital.org/QuickLinks.aspx?CID=8,"none found 
","| Palo Verde Health Systems, CA",https://www.paloverdehospital.org/196/Carmela-Garnica,"none found 
"
27,SCRIPPS GREEN HOSPITAL,Executive Team Bios - San Diego - Scripps Health,https://www.scripps.org/about-us/executive-team,"unusual behavior notice 
",Student & Volunteer Opportunities | Scripps Health Careers,https://careers.scripps.org/students/,"none found 
",Scripps Health Implementation Strategy Fiscal Year 2023,https://www.scripps.org/sparkle-assets/documents/scripps-health-implementation-strategy-2023.pdf,"none found 
"
